trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
133,False,"{'a': 0.01, 'e': 0.26713530196585034}",20,15,-1.4706928938805301,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
134,False,"{'a': 0.01, 'e': 0.26447726129982396}",25,11,1.3643991701021578,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
135,False,"{'a': 0.01, 'e': 0.261845668580326}",30,7,-84.3928066293385,"{0: 18, 1: 0, 2: 3, 3: 0, 4: 2}",1
136,False,"{'a': 0.01, 'e': 0.2592402606458915}",25,14,3.159434561733697,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
137,False,"{'a': 0.01, 'e': 0.2566607769535559}",20,0,17.253523720656002,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
138,False,"{'a': 0.01, 'e': 0.25410695955280027}",25,0,-9.411503527988673,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
139,False,"{'a': 0.01, 'e': 0.25157855305975646}",25,18,9.063403178244698,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.01, 'e': 0.24907530463166816}",20,0,-18.446091849757586,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
141,False,"{'a': 0.01, 'e': 0.24659696394160643}",20,0,-3.025416982857967,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
142,False,"{'a': 0.01, 'e': 0.2441432831534371}",25,0,-57.23277649460981,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
143,False,"{'a': 0.01, 'e': 0.24171401689703645}",25,0,15.008194013667532,"{0: 22, 1: 3, 2: 0, 3: 0, 4: 0}",0
144,False,"{'a': 0.01, 'e': 0.23930892224375455}",30,18,10.618440596626334,"{0: 10, 1: 2, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.01, 'e': 0.23692775868212176}",20,0,-40.684175166469686,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
146,False,"{'a': 0.01, 'e': 0.23457028809379765}",20,13,3.7813229236384513,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
147,False,"{'a': 0.01, 'e': 0.23223627472975883}",25,10,-47.596424204354506,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 1}",1
148,False,"{'a': 0.01, 'e': 0.22992548518672384}",20,12,-0.902070816665959,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
149,False,"{'a': 0.01, 'e': 0.22763768838381274}",20,12,6.136462111080165,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.01, 'e': 0.22537265553943872}",30,0,-9.728081653695021,"{0: 23, 1: 5, 2: 2, 3: 0, 4: 0}",0
151,False,"{'a': 0.01, 'e': 0.22313016014842982}",25,15,-8.723613824126755,"{0: 7, 1: 2, 2: 1, 3: 0, 4: 0}",1
152,False,"{'a': 0.01, 'e': 0.2209099779593782}",25,0,-46.82163938139562,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
153,False,"{'a': 0.01, 'e': 0.21871188695221475}",20,15,10.165009432184185,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.01, 'e': 0.21653566731600707}",30,1,-42.63795594012272,"{0: 23, 1: 2, 2: 3, 3: 0, 4: 1}",1
155,False,"{'a': 0.01, 'e': 0.21438110142697794}",25,0,-23.803193726569514,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
156,False,"{'a': 0.01, 'e': 0.21224797382674304}",30,0,-53.30723442915274,"{0: 26, 1: 1, 2: 1, 3: 0, 4: 2}",0
157,False,"{'a': 0.01, 'e': 0.21013607120076472}",20,7,-51.51127921589807,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 1}",1
158,False,"{'a': 0.01, 'e': 0.20804518235702046}",20,0,-26.537339907651372,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 1}",0
159,False,"{'a': 0.01, 'e': 0.20597509820488344}",25,6,-30.797308038958665,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 1}",1
160,False,"{'a': 0.01, 'e': 0.20392561173421342}",20,0,-1.3458075475485731,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
161,False,"{'a': 0.01, 'e': 0.20189651799465538}",30,19,6.4894040034380325,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
162,False,"{'a': 0.01, 'e': 0.1998876140751445}",20,11,14.099272004996683,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.01, 'e': 0.19789869908361465}",20,0,-10.36508466355988,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",1
164,False,"{'a': 0.01, 'e': 0.19592957412690934}",20,0,-72.90462218414093,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
165,False,"{'a': 0.01, 'e': 0.19398004229089189}",30,1,15.006840938621101,"{0: 26, 1: 1, 2: 2, 3: 0, 4: 0}",1
166,False,"{'a': 0.01, 'e': 0.19204990862075408}",20,10,-0.7011984834515539,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
167,False,"{'a': 0.01, 'e': 0.1901389801015205}",30,20,-16.59326630749107,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 0}",1
168,False,"{'a': 0.01, 'e': 0.1882470656387468}",20,4,24.320532744323405,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.01, 'e': 0.18637397603940997}",25,0,-24.664527780012527,"{0: 21, 1: 3, 2: 0, 3: 0, 4: 1}",0
170,False,"{'a': 0.01, 'e': 0.18451952399298926}",25,8,3.0838982856864368,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 0}",1
171,False,"{'a': 0.01, 'e': 0.18268352405273466}",25,0,34.90063961750577,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
172,False,"{'a': 0.01, 'e': 0.1808657926171221}",20,0,18.487910958242768,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
173,False,"{'a': 0.01, 'e': 0.17906614791149322}",25,7,-16.61673039179664,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
174,False,"{'a': 0.01, 'e': 0.17728440996987782}",30,20,7.143606645452098,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
175,False,"{'a': 0.01, 'e': 0.17552040061699686}",25,14,-8.221559016467015,"{0: 9, 1: 1, 2: 0, 3: 1, 4: 0}",1
176,False,"{'a': 0.01, 'e': 0.17377394345044514}",20,6,-0.31803994047652906,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
177,False,"{'a': 0.01, 'e': 0.17204486382305054}",20,0,-77.86217578141702,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
178,False,"{'a': 0.01, 'e': 0.17033298882540943}",20,0,-60.863792857153676,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
179,False,"{'a': 0.01, 'e': 0.1686381472685955}",25,7,-58.387959189297014,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 2}",1
180,False,"{'a': 0.01, 'e': 0.1669601696670407}",20,9,18.126621355429073,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
181,False,"{'a': 0.01, 'e': 0.16529888822158653}",25,0,36.776216649037124,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
182,False,"{'a': 0.01, 'e': 0.16365413680270405}",30,7,-54.85097637986248,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 1}",1
183,False,"{'a': 0.01, 'e': 0.16202575093388075}",25,1,39.68377025743451,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
184,False,"{'a': 0.01, 'e': 0.16041356777517274}",20,11,17.152811570657033,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
185,False,"{'a': 0.01, 'e': 0.15881742610692068}",20,14,10.21823257015029,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
186,False,"{'a': 0.01, 'e': 0.1572371663136276}",20,12,15.573332992856082,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
187,False,"{'a': 0.01, 'e': 0.1556726303679973}",20,3,-9.58762306391868,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
188,False,"{'a': 0.01, 'e': 0.1541236618151314}",25,0,-22.31333854330627,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
189,False,"{'a': 0.01, 'e': 0.15259010575688386}",20,1,19.616266440720068,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 0}",1
190,False,"{'a': 0.01, 'e': 0.15107180883637084}",25,3,4.340384748628876,"{0: 19, 1: 1, 2: 2, 3: 0, 4: 0}",1
191,False,"{'a': 0.01, 'e': 0.14956861922263504}",20,0,21.600060685769982,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
192,False,"{'a': 0.01, 'e': 0.14808038659546244}",20,10,-40.31394678489912,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 1}",1
193,False,"{'a': 0.01, 'e': 0.14660696213035015}",20,0,22.118163235017715,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
194,False,"{'a': 0.01, 'e': 0.14514819848362373}",25,15,6.12476041276367,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
195,False,"{'a': 0.01, 'e': 0.14370394977770293}",25,1,-13.02833877261875,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 1}",1
196,False,"{'a': 0.01, 'e': 0.1422740715865136}",25,0,19.700363082703003,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
197,False,"{'a': 0.01, 'e': 0.140858420921045}",25,15,20.491842002842922,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
198,False,"{'a': 0.01, 'e': 0.13945685621505094}",20,0,-16.44747244824379,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
199,False,"{'a': 0.01, 'e': 0.13806923731089282}",25,0,-31.63302590998741,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 1}",0
200,False,"{'a': 0.01, 'e': 0.13669542544552385}",25,10,18.766718612559252,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
201,False,"{'a': 0.01, 'e': 0.1353352832366127}",35,22,-13.738258812226928,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 0}",1
202,False,"{'a': 0.01, 'e': 0.13398867466880493}",25,8,-2.070181980076157,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 0}",1
203,False,"{'a': 0.01, 'e': 0.13265546508012172}",20,6,10.115818253773503,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
204,False,"{'a': 0.01, 'e': 0.13133552114849303}",30,8,-7.137182514453583,"{0: 18, 1: 0, 2: 4, 3: 0, 4: 0}",1
205,False,"{'a': 0.01, 'e': 0.1300287108784259}",25,5,7.187324608828049,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",1
206,False,"{'a': 0.01, 'e': 0.12873490358780423}",30,17,-39.0931817397352,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 1}",1
207,False,"{'a': 0.01, 'e': 0.12745396989482075}",20,15,8.4844774916834,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
208,False,"{'a': 0.01, 'e': 0.12618578170503877}",20,6,3.317070682461366,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
209,False,"{'a': 0.01, 'e': 0.12493021219858241}",25,5,5.588470932632418,"{0: 17, 1: 3, 2: 0, 3: 0, 4: 0}",1
210,False,"{'a': 0.01, 'e': 0.12368713581745483}",30,20,-4.402326617453694,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
211,False,"{'a': 0.01, 'e': 0.1224564282529819}",25,12,13.130335733999184,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
212,False,"{'a': 0.01, 'e': 0.12123796643338168}",20,0,27.689897156017153,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
213,False,"{'a': 0.01, 'e': 0.12003162851145673}",35,16,-1.1425737739772401,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 0}",1
214,False,"{'a': 0.01, 'e': 0.11883729385240965}",20,2,23.959521603599228,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
215,False,"{'a': 0.01, 'e': 0.11765484302177918}",20,12,7.401356945636985,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
216,False,"{'a': 0.01, 'e': 0.11648415777349697}",20,12,-8.545974541062169,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
217,False,"{'a': 0.01, 'e': 0.11532512103806251}",20,8,11.527569493618497,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
218,False,"{'a': 0.01, 'e': 0.1141776169108365}",25,7,20.781336162737524,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
219,False,"{'a': 0.01, 'e': 0.11304153064044985}",30,14,26.24153938603056,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
220,False,"{'a': 0.01, 'e': 0.11191674861732888}",20,7,10.839848499120752,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
221,False,"{'a': 0.01, 'e': 0.11080315836233387}",25,13,-80.49377290119689,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 2}",1
222,False,"{'a': 0.01, 'e': 0.10970064851551141}",20,8,16.80644593377095,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
223,False,"{'a': 0.01, 'e': 0.10860910882495796}",20,8,-11.135491605039725,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 0}",1
